,fallacy_reason,fallacy_type,n_supporters,premise_content,premise_type,title,url
40,,None,1,Observable to who? Just because we can't observe the Creator now doesn't mean we can't observe Him in the future.  ,but,A creator must exist,https://en.arguman.org/a-creator-must-exist
41,,None,6,"That's a misrepresentation of the argument. The creationist side makes an assertion here: ""All things must have a cause"". They then make an exception for their god. The counter here is ""why not make that same exception for the universe?"". Or to bring up the Casimir Effect.",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
42,,None,4,"If we can't possibly understand his existence, then we should discontinue the  idea that he is a creator. Creation implies causation. Cause and effect in our universe are always in this order, in this beings special dimension this concept does not exist. ",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
43,,None,2,It begs the question why the creation of observers indicates intended life. You asserted this yourself with circular reasoning.,but,A creator must exist,https://en.arguman.org/a-creator-must-exist
44,,None,1,What formed the particles that caused the big bang? If there is an explanation for this then how did the thing that formed the particles form and so on and so forth.,because,A creator must exist,https://en.arguman.org/a-creator-must-exist
45,,None,1,"The initial argument is arguing that a creator MUST exist, not that there's a possibility, thus rendering your argument irrelevant (irrelevant conclusion).",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
46,,None,1,"Whoever reported the fallacy, could you explain how this is a fallacy of the beard? Perhaps I've misunderstood.",however,A creator must exist,https://en.arguman.org/a-creator-must-exist
47,,None,3,"""God is perfect"" isn't a valid premise. If we haven't established a creator's existence, we can't take their qualities for granted.

The premise looks like an appeal to belief.

Hellenic gods, to highlight a contradicting tradition, were filled with ""imperfections.""",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
48,,None,7,A creator can suddenly come out of nothing? How would this be a satisfying answer? It answers nothing.,but,A creator must exist,https://en.arguman.org/a-creator-must-exist
49,,None,1,Science is not goal based but question based. It is a system that we use to discover and not a presupposition of intent.,because,A creator must exist,https://en.arguman.org/a-creator-must-exist
50,,None,3,"Even if a creator with your description existed, it would still need a logical explanation as to why he started existing in the first place.",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
51,,None,5,"You can't really describe the universe. You are only supposing it will be possible someday, but no one has, to this day, actually achieved a total description.",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
52,,None,4,"You really can't describe the universe the way it is. Only the way you see it, which is not absolute but relative.",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
53,,None,2,"If there is ""nothing"", there is not even the conditions for a creator's appearing. ",because,A creator must exist,https://en.arguman.org/a-creator-must-exist
54,,None,1,"We can bypass this problem if we assume that existence itself is a moebius-strip and created itself. Maybe the ""normal"" state is not ""nothing"" but ""something"".",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
55,,None,6,"By your logic, you just asserted that a creator would need a creator.",however,A creator must exist,https://en.arguman.org/a-creator-must-exist
56,,None,1,"There is no study that says that the everything was created from nothing, there is no evidence to back your claim.",however,A creator must exist,https://en.arguman.org/a-creator-must-exist
57,,None,1,"The general idea of a supreme ""creator"" is that it doesn't need it's own creator. It is existence itself or the act of existing. ",however,A creator must exist,https://en.arguman.org/a-creator-must-exist
58,,None,1,we don't that the universe is a creation  and not just a thing that simply is,but,A creator must exist,https://en.arguman.org/a-creator-must-exist
59,,None,1,it's possible that the universe has always existed,but,A creator must exist,https://en.arguman.org/a-creator-must-exist
60,,None,4,"by this logic this discussion becomes pointless; If the existence of the ultimate creator is something we cannot possibly understand, we cannot discuss it logically ",however,A creator must exist,https://en.arguman.org/a-creator-must-exist
61,,None,1, Some things do not require action to exist. ,but,A creator must exist,https://en.arguman.org/a-creator-must-exist
62,,None,1,"Special Pleading:
Because there cannot be something from nothing. That means it can't be done, not that a creator can do it.",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
63,,None,10,"If this logic is true this creator needs a creator too 
And so does the creator of the creator...
=> endless chain of creators",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
64,,None,1,If we see this creator as a being that transcends human laws of physics and time etc. then the view of a creator is still possible.,however,A creator must exist,https://en.arguman.org/a-creator-must-exist
65,,None,1,"unfortunately you can take an explanation and apply this type of logic to it and achieve the same result, this does not necessarily mean that a creator exist or that a creator necessarily exists. ",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
66,,None,2,It is very promising to see a vast majority of buts on this topic. Faith in humanity restored ,however,A creator must exist,https://en.arguman.org/a-creator-must-exist
67,,None,4,This explanation would disprove a creator.,however,A creator must exist,https://en.arguman.org/a-creator-must-exist
68,,None,1,"We expand our knowledge of the universe and the more we know, belief lessens.",however,A creator must exist,https://en.arguman.org/a-creator-must-exist
69,,None,1,If a creator can be supreme the universe itself could be supreme (and wouldn't need a creator),but,A creator must exist,https://en.arguman.org/a-creator-must-exist
70,,None,6,"this would apply to any perfect deity, fictional or otherwise",however,A creator must exist,https://en.arguman.org/a-creator-must-exist
71,,None,4,"I don't know, therefor god?",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
72,,None,1,Why must something perfect exist?,however,A creator must exist,https://en.arguman.org/a-creator-must-exist
73,,None,2,"You can't refute all other explanations using logic ""something cannot be from nothing"" and then give an answer that doesn't appeal to the logic you used to refute all other answers ""a being that transcends physical laws...""",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
74,,None,1,"There's no reason the outside process needs to be an ""entity"".",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
75,,None,1,"The Big Bang wasn't an explosion of particles. It was the expansion of space.

In fact, there were no particles at the time of the Big Bang, these were formed from the ridiculous amount of energy it had as that energy spread out with space.",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
76,,None,2,"The ASCII standard is a compromise of typewriters and mainframes characters like \r, \n and \t.

""Tab"" stands for ""tabulation"" as in ""table"". They are used to produce table-like visual structures. Semantically, using tabs for indentation is wrong. It could be used for multi-column code though.",however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
77,,None,13,"So does the the font, text color, background color, and font size. These visual elements are preferences of the user and do not affect the utility of tabs.",but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
78,,None,2,"On my laptop screen, in the Atom text editor, I have tab width set to 2, and on my wide desktop screen, I have tab width set to 4. It allows the code to be readable both displays while maximising screen usage.",because,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
79,,None,25,"You can configure your IDE to convert tab to spaces automagically, which means it doesn't matter, because you are using tab to type spaces in the end",however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
80,,None,1,Making ASCII-art with source code is painful to manage as further modification can lead to changing lines unrelated to the actual patch. This takes developer time and disrupts the blame history.,however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
81,,None,1,So many operating systems still have no support for GUI environments but you use one that supports that. You can simply use a good editor which today there are so many and most of them are available for free on all platforms,however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
82,,None,2,Mixing tabs and spaces is a good middle ground.,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
83,,None,1,IDEs can also be configured to automatically navigate multiple spaces at beginning of lines as though they were a single character.,because,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
84,,None,4,If the people you code with are used to tabs your arguing about spaces is counter-productive to your programming. ,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
85,,None,1,We aren't arguing that EVERY space be replaced with a tab character,however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
86,,None,1,When there are line-length limits then this became an issue. Most projects that I am aware of have some kind of line-length limit.,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
87,,None,3,Any serious project should have some kind of autoformatting or stylecheck assigned which would disallow such cases (i.e. gofmt or rustfmt).,however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
88,,None,4,"You could use tabs for indentation, and use spaces for the ascii art/inline-alignment.",because,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
89,,None,1,"Having multiple indentation styles in the same file, let alone project tends to messy, disorganized code. Having one standard is always better.",but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
90,,None,2,Some editors don't support backspace correctly when using spaces for indentation. You are still required to press backspace N times when using N spaces per level of indentation.,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
91,,None,1,It's just as easy to indent (just press the tab key). Alignment is not the same thing as indentation.,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
92,,None,4,"That's not indentation, that's alignment.",but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
93,,None,3,"This is only the case if you want to indent the following parts of the logical line to a non-tabstop level, which is not always the case. Therefore it is not impossible.",however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
94,,None,1,"But this matter when you send file to another person. If you use same tab-width it's still ok, but when you don't code looks terrible",but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
95,,None,1,Auto-format rarely handles 100% of edge cases.,however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
96,,None,1,Spaces would use more characters than tabs in line,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
97,,None,2,"Nobody actually types the indentation these days; we all let our editors do it for us. Have you ever remembered typing four spaces or a tab for indentation? No, because your editor did it for you. For example in Java or Python after a brace / colon the editor will indent the next line for you.",however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
98,,None,4,They also need to be adjusted in the personal preferences of every editor. Some of which don't have a setting for the tab-size.,however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
99,,None,2,In the end no one cares about such thing in the real world,because,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
100,,None,2,"From resource point of view: It's 2016, no 1980. ",but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
101,,None,1,This is exactly the problem with tabs,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
102,,None,2,"Tabs could be considered as a special character for indentation, giving a kind of additional semantic to code.",however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
103,,None,3,"The argument about the cost of the energy required to use spaces over tabs is contrived and pedantic, because it doesn't come under consideration in practical use.",but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
104,,None,6,You can mix tabs with spaces which is even worse than having two separate indentation witdths,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
105,,None,4,It is nice unless we have characters-per-line limit in project (and most projects has).,however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
106,,None,4,"As long as they use monospace fonts those differences don't affect layout, unlike tabs.",however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
107,,None,7,Users might want to have different tab width,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
108,,None,2,Very long lines usually indicate poor quality code,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
109,,None,3,They generate actual costs which cannot be ignored,however,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
110,,None,13,With current memory capacities the space saved is negligible.,but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
111,,None,1,"Forcing people to see what others think is true is what needs to be done to educate others.

EDIT: I'm gonna make an argument about this. http://en.arguman.org/education-is-facilitated-by-forcing-others-to-believe-what-the-teacher-believes-is-true",but,"Teaching evolution in biology classes should be mandatory, with no chance to opt out",https://en.arguman.org/teaching-evolution-in-biology-classes-should-be-mandatory-with-no-chance-to-opt-out
112,,None,2,"Isn't teaching really ""force everyone to learn what I see as truth?"" What if I believe that 2 + 2 = 3? The teacher is forcing me to believe what he/she thinks is the truth.",however,"Teaching evolution in biology classes should be mandatory, with no chance to opt out",https://en.arguman.org/teaching-evolution-in-biology-classes-should-be-mandatory-with-no-chance-to-opt-out
113,,None,3,Creationism is not a scientific theory.,but,"Teaching evolution in biology classes should be mandatory, with no chance to opt out",https://en.arguman.org/teaching-evolution-in-biology-classes-should-be-mandatory-with-no-chance-to-opt-out
114,,None,1,"Learning about religious beliefs should be a whole separate class.
For example, in Hungary, there is/was (depends on the school) a class called ""religious studies"", where the children are taught about the Bible and it's teachings.
Evolution falls under biology, as creationism falls under religion.",however,"Teaching evolution in biology classes should be mandatory, with no chance to opt out",https://en.arguman.org/teaching-evolution-in-biology-classes-should-be-mandatory-with-no-chance-to-opt-out
115,,None,2,Evolution currently has the most scientific backing and the purpose of science classes is to teach science to students. What else do you intend to teach students in science if not the theory with the most scientific backing and evidence behind it?,but,"Teaching evolution in biology classes should be mandatory, with no chance to opt out",https://en.arguman.org/teaching-evolution-in-biology-classes-should-be-mandatory-with-no-chance-to-opt-out
116,,None,1,"You have not presented a reason why evolution is essential to biology.  Biology is the study of life and living organisms. While evolution has affected aspects of living organisms compared to past 'versions', it is not essential to understanding the current 'versions'. note: Biology is not mandatory",but,"Teaching evolution in biology classes should be mandatory, with no chance to opt out",https://en.arguman.org/teaching-evolution-in-biology-classes-should-be-mandatory-with-no-chance-to-opt-out
117,,None,1,"> No one should be forced to learn about biology.

That was not the point. Every democratic first world country has laws that require kids to have a minimal education. Biology is included in it because kids need a basic understanding of it to be fit for eventual career in academia.",but,"Teaching evolution in biology classes should be mandatory, with no chance to opt out",https://en.arguman.org/teaching-evolution-in-biology-classes-should-be-mandatory-with-no-chance-to-opt-out
118,,None,1,"Yes, they do. So skip class that day if they so desire. Not teaching the subject in class entirely robs other students of their right to learn.",but,"Teaching evolution in biology classes should be mandatory, with no chance to opt out",https://en.arguman.org/teaching-evolution-in-biology-classes-should-be-mandatory-with-no-chance-to-opt-out
119,,None,3,"In most countries it is mandatory for kids to go to school and most of the subjects are mandatory including biology. Since biology is mandatory, evolution automatically becomes mandatory too since it wouldn't work without it.",but,"Teaching evolution in biology classes should be mandatory, with no chance to opt out",https://en.arguman.org/teaching-evolution-in-biology-classes-should-be-mandatory-with-no-chance-to-opt-out
120,,None,1,"""note: Biology is not mandatory""

-

That is true to some extent. Depending on which country though, it is mandatory.",however,"Teaching evolution in biology classes should be mandatory, with no chance to opt out",https://en.arguman.org/teaching-evolution-in-biology-classes-should-be-mandatory-with-no-chance-to-opt-out
121,,None,8,"Biology is the study of the past and current lifeforms, thus it is necessary to understand evolution. The notion that biology only cares about current lifeforms is false. The understanding of current lifeforms is just a part of it.",but,"Teaching evolution in biology classes should be mandatory, with no chance to opt out",https://en.arguman.org/teaching-evolution-in-biology-classes-should-be-mandatory-with-no-chance-to-opt-out
122,,None,8,"If you want to live in a modern society in the developed world, where one assumes knowledge and schools are a thing, evolution should be mandatory. But, in a more general, abstract sense, you're right. ",but,"Teaching evolution in biology classes should be mandatory, with no chance to opt out",https://en.arguman.org/teaching-evolution-in-biology-classes-should-be-mandatory-with-no-chance-to-opt-out
123,,None,1,"I am wondering about the veracity of this source.
Anyway you are right (and so i was wrong), just take a human in coma for example.
But these humans are a extreme minority and don’t vote. (and mostly don’t live for long)",however,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
124,,None,4,People in comas have the potential to vote eventually. Plants would never be able to decide on who to vote for or actually vote.,but,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
125,,None,5,"With this line of reasoning anyone in comas would also lose the right to vote. In reality they have the right all along but cannot articulate it. Likewise nothing would be problematic giving plants the right to vote, they just won't use their right. ",but,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
126,,None,1,"People in comas still have the right to vote. They don't temporary lose a right, they simply don't use it because of a medical condition.",however,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
127,,None,1,"The right to vote is given to people, not organisms.",but,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
128,,None,1,"Plants are affected by some laws, for example water control laws, or laws about pesticides. ",but,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
129,,None,1,Animals could be trained to cast votes. Or objects such as computers could be manipulated to cast votes. ,however,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
130,,None,8,That requires a proof.,but,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
131,,None,6,By this reasoning you could give literally every object on earth a right to vote. (They just wouldn't use it.),however,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
132,,None,2,"This would mean that all organisms (including fungi and microorganisms) would need to be taken into account. Given that there are already around 50,000,000 bacteriophage per mL of ocean water, taking the entire population into account would be unfeasible.",but,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
133,,None,1,poop is not living,however,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
134,,None,2,"If anything the living things inside of poop should given the right to vote, not the poop itself.",however,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
135,,None,1,"Some voting people are not intelligent too, intelligence is relative",however,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
136,,None,2,"The only difference (even now) is a little heart on your ID. Nobody actively inquires about it now, and that seems unlikely to change.",but,Postmortem organ donation should be opt-out,https://en.arguman.org/postmortem-organ-donation-should-be-opt-out
137,,None,1,"You are assuming necrophilia is not permissible because of consent, but even if you give a agreement to use your corps for necrophilia, it is still not permissible.

There are others problems with necrophilia than consent.",but,Postmortem organ donation should be opt-out,https://en.arguman.org/postmortem-organ-donation-should-be-opt-out
138,,None,3,"One can imagine that this incentive goes significantly down (possibly to zero) if the demand for organ transplants is met. If the majority (or possibly even a plurality) of people donate organs, this demand would be met.",but,Postmortem organ donation should be opt-out,https://en.arguman.org/postmortem-organ-donation-should-be-opt-out
139,,None,3,Presumably because in other aspects of life you aren't already dead,but,Postmortem organ donation should be opt-out,https://en.arguman.org/postmortem-organ-donation-should-be-opt-out
140,,None,6,The system could be 100% shame free. Right now its simply a checkbox on your liscence that no one ever knows or sees unless you point it out to them. ,but,Postmortem organ donation should be opt-out,https://en.arguman.org/postmortem-organ-donation-should-be-opt-out
141,,None,1,"Being an organ donor creates financial and moral incentives to let you die. While doctors may not consciously act on these incentives, they may do so unconsciously. Ergo opt out organ donation puts people at a higher risk of dying in the hospital.",because,Postmortem organ donation should be opt-out,https://en.arguman.org/postmortem-organ-donation-should-be-opt-out
142,,None,1,"Also, how is this reductio ad absurdum?",but,Postmortem organ donation should be opt-out,https://en.arguman.org/postmortem-organ-donation-should-be-opt-out
143,,None,1,"If it is permissible to do things without consent to someone who is dead, then necrophilia is permissible. Necrophilia is not permissible, therefore something cannot be permissible on the grounds that they are already dead.",but,Postmortem organ donation should be opt-out,https://en.arguman.org/postmortem-organ-donation-should-be-opt-out
144,,None,1,Now is the time for political debate.,but,Jimmy Kimmel should not bring up inaction on gun policy (now),https://en.arguman.org/jimmy-kimmel-should-not-bring-up-inaction-on-gun-policy
145,,None,1,It doesn't matter that we're all heartbroken.,but,Jimmy Kimmel should not bring up inaction on gun policy (now),https://en.arguman.org/jimmy-kimmel-should-not-bring-up-inaction-on-gun-policy
146,,None,1,"You have to weigh the good with the bad;  A highly educated person, who has been groomed to dictate, who makes decisions unilaterally is almost always superior to a government in which is clogged by bipartisanism. ",however,A monarchy is the best form of government,https://en.arguman.org/a-monarchy-is-the-best-form-of-government
147,,None,1,"No style of government ensures that a person of high morals will get into office. However, by heavily educating a down-the-line monarch in the field of ethics, you minimalize the odds of this. ",however,A monarchy is the best form of government,https://en.arguman.org/a-monarchy-is-the-best-form-of-government
148,,None,1,"The monarch must take full responsibility if his/her decisions were ill-advised, reckless or self-interested.",but,A monarchy is the best form of government,https://en.arguman.org/a-monarchy-is-the-best-form-of-government
149,,None,1,High education doesn't necessarily correlate with good moral.,but,A monarchy is the best form of government,https://en.arguman.org/a-monarchy-is-the-best-form-of-government
150,,None,1,"Most monarchs weren’t reasonable, and there is no reason that they will be.",but,A monarchy is the best form of government,https://en.arguman.org/a-monarchy-is-the-best-form-of-government
151,,None,2,it's easier for one person to make decisions than having a committee of people trying to find consensus,because,A monarchy is the best form of government,https://en.arguman.org/a-monarchy-is-the-best-form-of-government
152,,None,2,Which is never the case.,however,A monarchy is the best form of government,https://en.arguman.org/a-monarchy-is-the-best-form-of-government
