,fallacy_reason,fallacy_type,premise_content,premise_type,title,url
12,"the premise seeks to counter the initial premise by discrediting the underlying values of the person, rather than their response to the question of teaching evolution in biology",Poisoning The Well,"Is ""force everyone to learn what I see as truth"" a general principle you wish to endorse, or are you making an exception in this case?",but,"Teaching evolution in biology classes should be mandatory, with no chance to opt out",https://en.arguman.org/teaching-evolution-in-biology-classes-should-be-mandatory-with-no-chance-to-opt-out
13,This is an opinion.,Appeal To Belief,Magic mouse is a bad mouse in general,but,Ctrl+Click is better than right click if you use mac,https://en.arguman.org/ctrlclick-is-better-than-right-click-if-you-use-mac
14,"""Or 1"" always return true.",False Analogy,the mutual intelligibility barrier between humans and plants makes it impossible to know whether the concept of democracy is supported by the plant kingdom or not,but,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
15,But that does not make his point invalid.,Irrelevant Conclusion,"That's a very large leap. I think it's pretty clear that there's a difference between necrophilia and saving people's lives. Even if there weren't, you're still giving people a mechanism to defend themselves from such behavior. This is not the case in necrophilia.",but,Postmortem organ donation should be opt-out,https://en.arguman.org/postmortem-organ-donation-should-be-opt-out
16,It is not about Kimmel but about gun policy,Argument Against TheMan,Kimmel is ignorant.,because,Jimmy Kimmel should not bring up inaction on gun policy (now),https://en.arguman.org/jimmy-kimmel-should-not-bring-up-inaction-on-gun-policy
17,What is does not ought or have to be always. Your comment should be an however one.,Fallacy Of Is To Ought,The meme of democratic reign and maximization of individual freedom has spread too widely for a monarchy to ever rise to world status without serious indoctrination.,but,A monarchy is the best form of government,https://en.arguman.org/a-monarchy-is-the-best-form-of-government
18,Being a monarch does not necessarily mean to be corrupt.,Fallacy Of False Cause,A monarch is highly corruptible.,but,A monarchy is the best form of government,https://en.arguman.org/a-monarchy-is-the-best-form-of-government
19,Gracias por esa definición que no conocíamos y que es de la que hablamos y no estamos de acuerdo,Begging The Question,Te contraresto el ejemplo porque es malo con ganas xD. Dama hace referencia a mujer; caballero a hombre. Todos es de género neutro. Engloba a hombres y mujeres,but,El lenguaje inclusivo es innecesario,https://en.arguman.org/el-lenguaje-inclusivo-es-innecesario
20,While drug addiction is a form of mental illness it is by no means a part of all mental illness,Irrelevant Conclusion,"When a person consumes a lot of drugs, his motive of life actually becomes the drug.",because,Society suffers the most when dealing with people having mental disorders,https://en.arguman.org/society-suffers-the-most-when-dealing-with-people-having-mental-disorders
21,"And? That doesn't mean anything about if it's moral or not, so it's irrelevant. Unless you assume that what makes something moral is ""what everyone does"", which is in-correct by the definition of ""moral"".",Fallacy Of Red Herring,But Everybody Does it!,but,Illegally downloading copyrighted music and other files is morally wrong.,https://en.arguman.org/why-illegally-downloading-files-is-morally-wrong
22,Appeal to ridicule by exploiting a wordplay,Fallacy Of Red Herring,"A semicolon `;` consists of a comma `,` and a point `•`.",however,Semi-colons are pointless in Javascript,https://en.arguman.org/semi-colons-are-unnecessary-in-javascript
23,"This is just pointing out a mathematical mistake, whose occurrence is irrelevant to the argument. (Still found your comeback funny though.)",Poisoning The Well,A function that suffers off-by-one errors clearly can't be a good measure for quality.,but,You can't measure how good a programming language is.,https://en.arguman.org/you-cant-measure-how-good-a-programming-language-is
24,"Claim without argument or proof; also, not addressing the question",Begging The Question,Java sucks,however,You can't measure how good a programming language is.,https://en.arguman.org/you-cant-measure-how-good-a-programming-language-is
25,The premise about omit-able semicolons.,Irrelevant Conclusion,It is impossible to write a for loop without semicolons.,but,Semi-colons are pointless in Javascript,https://en.arguman.org/semi-colons-are-unnecessary-in-javascript
26,Whatever it is pointless or not has nothing to do with this argument.,Irrelevant Conclusion,javascript is pointless,because,Semi-colons are pointless in Javascript,https://en.arguman.org/semi-colons-are-unnecessary-in-javascript
27,How a character looks like has nothing to do with an argument.,Irrelevant Conclusion,"A semicolon `;` consists of a comma `,` and a point `•`.",however,Semi-colons are pointless in Javascript,https://en.arguman.org/semi-colons-are-unnecessary-in-javascript
28,This has nothing to do with the argument.,Irrelevant Conclusion,Potatoes are delicious.,because,"Everything in the universe is either a potato, or not a potato.",https://en.arguman.org/everything-in-the-universe-is-either-a-potato-or-not-a-potato
29,This is implicit in the original claim.,Begging The Question,Culture affects the way different races act and live their lives.,because,"Life in America has nothing to do with race, but everything to do with culture.",https://en.arguman.org/life-in-america-has-nothing-to-do-with-race-but-everything-to-do-with-culture
30,"This claims that the top 1% need to act like they know what is best for others by spending money in better places, but people should not act like they know what is best for others.",Fallacy Of Special Pleading,"The solution to bad capitalism is good capitalism. All the ""1%"" people have to do is spend more money in better place's. The solution to bad socialism is capitalism. People need to stop acting like they know what's best for others. You get what you work for, and you can't help someone you dont know",because,Proponents of Socialism or Communism will predominantly argue under bad faith - because there are no compelling arguments but the end goal of access to free money/value subsidizes them in trying to demonize Capitalism relative to Socialism.,https://en.arguman.org/many-people-arguing-the-case-that-socialism-or-communism-is-preferable-to-capitalism-will-do-so-under-bad-faith-there-are-no-compelling-arguments-for-them-but-the-thought-of-free-moneyvalue-subsidizes-them-trying-to-fraudulently-win-the-argument
31,Technically 'onus probandi': The burden of proof is on the original claim.,Begging The Question,You have not provided evidence of this lack of evidence...,but,Voter ID Laws should be enacted as a preventive measure to prevent voting fraud,https://en.arguman.org/voter-id-laws-should-be-enacted-as-a-preventive-measure-to-prevent-voting-fraud
32,"The point was about obtaining official identification forms not ""having an identity"".",Irrelevant Conclusion,"I've never understood why voter id laws must necessarily discriminate against minorities. Even a minority has an identity. If he or she can demonstrate that identity, and that identify is a qualified voter (qualified by age, etc), then he/she can vote.",however,Voter ID Laws should be enacted as a preventive measure to prevent voting fraud,https://en.arguman.org/voter-id-laws-should-be-enacted-as-a-preventive-measure-to-prevent-voting-fraud
33,Excessive financial spending will only lead to empty pockets in treating people with incurable diseases,Argument To Pity,Most family members don't want to give up their families,but,Euthanasia should not be banned,https://en.arguman.org/should-euthanasia-be-banned
34,"Whether we can know or not does not determine whether we should care or not. For millennia, people could not know the truth of molecules & atoms. Should they have not cared?",Irrelevant Conclusion,There is no scientific knowledge as to what happens after death.,because,We should not care about life after death,https://en.arguman.org/we-should-not-care-about-life-after-death
35,ad populum,Appeal To Authority,Blue is the the majority of peoples favorite color.,because,Blue is better than Red,https://en.arguman.org/blue-is-better-than-red
36,"Common range implies similarity however does not confirm such as it is ‘levelised’. Model is based on learning rates, which is based on installed capacity, which is based on subsidies. Too many assumptions have been made.",Fallacy Of Slippery Slope,CSIRO: “By 2030 the LCOE ranges of both conventional coal and gas technologies as well as wind and large-scale solar converge to a common range of A$50 to A$100 per megawatt hour.” (LCOE is levelized cost of electricity),but,Gas fracking should be banned in Australia.,https://en.arguman.org/shale-gas-fracking-should-be-banned-in-australia
37,"NY Times found never-reported EPA studies that concluded some drilling sites were incapable of removing certain water contaminants and were probably violating the law.
https://www.nytimes.com/2011/02/27/us/27gas.html",Appeal To Authority,"""Given the nature and dilution of chemicals used in Australian operations, fracking does not impair water quality."" (APPEA)
“Academic and government studies in US, UK and New Zealand have shown fracking is safe.”",because,Gas fracking should be banned in Australia.,https://en.arguman.org/shale-gas-fracking-should-be-banned-in-australia
38,"Whilst LNG burns cleaner than coal, the net impact of shale gas availability on carbon emissions in the long-term could prove to increase GHG emissions. French-German study in Climate Policy took into account the fossil-fuel substitution effect, low-carbon substitution effect which included the domination of gas in preference to renewables, as well as the increase in energy consumption as natural gas prices decrease to conclude that by 2050, GHG emissions would increase by 0.8% if shale gas was widely available.",Begging The Question,Santos claims 'natural gas plays an essential role in reducing carbon emissions.' Gas burns cleaner than coal and reduces far less fugitive methane and carbon dioxide.,but,Gas fracking should be banned in Australia.,https://en.arguman.org/shale-gas-fracking-should-be-banned-in-australia
39,"The assumption is made that because earthly evils occur, God wishes them upon mankind. Suffering and injustice is the result of human error according the Bible and is not what ought to happen.",Fallacy Of Is To Ought,The terrible suffering and injustice that exists in the world today proves that (if he exists at all) God is not a loving God,but,The God of the bible loves people,https://en.arguman.org/the-god-of-the-bible-loves-people
40,"Just because aliens are real doesn't mean they're coming for us, so shut up with your conspiracy """"""""""theories"""""""""".",Appeal To Belief,"Absolutely, They're finding us",because,There must be life other than our own in the universe.,https://en.arguman.org/there-must-be-life-other-than-our-own-in-the-universe
41,"Just because someone is farty face does not mean they are evil. Also, being a farty face does not invalidate a political position.",Argument Against TheMan,Because they are farty faces.,because,Antifascism is evil,https://en.arguman.org/antifascism-is-evil
42,Its the truth,Irrelevant Conclusion,Church's chicken is WAAAYY crispier,however,Lee's Chicken > all other chicken,https://en.arguman.org/lees-chicken-all-other-chicken
43,Thats trifling. churchs is gross,Irrelevant Conclusion,Church's chicken is WAAAYY crispier,however,Lee's Chicken > all other chicken,https://en.arguman.org/lees-chicken-all-other-chicken
44,Fallacy that's why,Fallacy Of Red Herring,Lee's biscuits is fire,because,Lee's Chicken > all other chicken,https://en.arguman.org/lees-chicken-all-other-chicken
45,ergsertgser,Fallacy Of Is To Ought,Each place should decide for themselves what to do.,but,"COURTS, NOT CAMPUSES, SHOULD DECIDE SEXUAL ASSAULT CASES",https://en.arguman.org/courts-not-campuses-should-decide-sexual-assault-cases-7c1ab90402404bc3aac2dd825110561f
46,"The biblical Adam has little to do with any modern day monarchs, nor relevance to monarchy in general.",Irrelevant Conclusion,"""Adam had not, either by natural right of fatherhood or by positive donation from God, any such authority over his children, nor dominion over the world as is pretended""",because,Monarchy is not a legitimate form of government,https://en.arguman.org/monarchy-is-not-a-legitimate-form-of-government
47,"The biblical Adam has little to do with any modern day monarchs, nor relevance to monarchy in general.",Irrelevant Conclusion,"Even if we could find a perfect way of determining succession between heirs, 'the knowledge of which is the eldest line of Adam's posterity' is utterly lost",because,Monarchy is not a legitimate form of government,https://en.arguman.org/monarchy-is-not-a-legitimate-form-of-government
48,"The biblical Adam has little to do with any modern day monarchs, nor relevance to monarchy in general.",Irrelevant Conclusion,"Even if Adam's heirs had dominion over the world, there is no law of Nature nor positive law of God that determines which is the right heir (to dominion over the world) in all cases between generations",because,Monarchy is not a legitimate form of government,https://en.arguman.org/monarchy-is-not-a-legitimate-form-of-government
49,"The biblical Adam has little to do with any modern day monarchs, nor relevance to monarchy in general.",Irrelevant Conclusion,"Even if Adam had dominion over the world, his heirs had no right that continue that dominion",because,Monarchy is not a legitimate form of government,https://en.arguman.org/monarchy-is-not-a-legitimate-form-of-government
50,"and we should also know that it helps us to be known with much true news, and we can learn from those fake news",Begging The Question,it also allows people to spread out 'fake' knowledege (by fake I mean anything that is not true or it is simply a fallacy),but,"""Failed"" social network kill ideas. But ""successful"" ones trigger new ideas and in the advancement of global knowledge.",https://en.arguman.org/failed-social-network-kill-ideas-but-successful-ones-trigger-new-ideas-and-in-the-advancement-of-global-knowledge
51,Whether an organization is cool or not (itself difficult to prove) does not necessarily attest to its usefulness.,Wrong Direction,It's cool,because,The Mekong Committee made more of a contribution to Southeast Asian regional integration than did the Southeast Asian Peninsular Games,https://en.arguman.org/the-mekong-committee-made-more-of-a-contribution-to-southeast-asian-regional-integration-than-did-the-southeast-asian-peninsular-games
52,The venus fly trap needs flies to survive.,Fallacy Of Red Herring,"When venus flytrap eats flies it is okay to be carnivorous but when we eat plants, it is not. Get lost.",however,a vegan diet is the most ethically viable,https://en.arguman.org/a-vegan-diet-is-the-most-ethically-viable
53,"""informed consent"" implies a particular research framing",Prejudicial Language,No informed consent was obtained.,but,The Facebook emotion contagion study was ethical.,https://en.arguman.org/the-facebook-emotion-contagion-study-was-ethical
54,fooling',Poisoning The Well,And because mother told be that gum will get stuck in your stomach if you swallow it.,because,The Earth has been visited by advanced extraterrestrial aliens.,https://en.arguman.org/the-earth-has-been-visited-by-advanced-extraterrestrial-aliens
55,"The argument is an equivocation. Both words are ambiguous, and do double duty. The fact that word can be used synonymously with another does not mean that there is no distinction to be made in meanings. The question is whether they can be used to mark a real distinction, not whether they can be used not to.",Begging The Question,"According to the dictionary, gender is synonymous with sex. Sex is not a social construct.",because,Gender is NOT a social construct,https://en.arguman.org/gender-is-not-a-social-construct
56,Personal attack,Prejudicial Language,You have brain damage :(,but,That the drinking age should be raised to 21,https://en.arguman.org/that-the-drinking-age-should-be-raised-to-21
57,"Intelligence alone does not determine whether an individual knows what's best for a country. In fact, ""what's best"" is an at least somewhat subjective notion in itself and people of various sorts, including those of similar intellect will disagree about ""what's best"".",Fallacy Of False Cause,It would protect the country from the whims of the unintelligent who have no idea what is good for the nation.,because,"In a democracy, voting should be limited to the intelligent, as assessed by a standardized intelligence test.",https://en.arguman.org/in-a-democracy-voting-should-be-limited-to-the-intelligent-as-assessed-by-a-standardized-intelligence-test
58,"This premise conflates intelligence with accuracy, success, and competence. Intelligence has some relationships with those things but is none of them in itself. Many highly intelligent people can also be totally incompetent in various contexts as well as highly unsuccessful and/or inaccurate. Intelligence alone does not replace experience, education, and, dare I say, wisdom.
You are displaying a clear overvaluation and positive bias for intellect and intelligence over all the things which must compliment it for it to manifest and work in the world.",Prejudicial Language,"A country run by the learned has a higher chance at being effective than a country governed by all. If the intelligent run the country, then the chances of a democratic mistake go down, because they are intelligent.",because,"In a democracy, voting should be limited to the intelligent, as assessed by a standardized intelligence test.",https://en.arguman.org/in-a-democracy-voting-should-be-limited-to-the-intelligent-as-assessed-by-a-standardized-intelligence-test
59,This does not address the primary contention about cost.,Irrelevant Conclusion,"It is simply not true that ""no other rights are implied"". Open Source has an official definition that implies many other rights.",but,The government should be required to use open source software (for civilian operations at least),https://en.arguman.org/the-government-should-be-required-to-use-open-source-software
60,"They are not coming
for now",Irrelevant Conclusion,The Triffids are coming and they'll be pretty upset to find we've denied them rights.,because,Plants should have the right to vote.,https://en.arguman.org/plants-should-have-the-right-to-vote
61,"""That's all that matters"" --> Not necessarily true.",Begging The Question,Men don't get menstrual cycles! That's all that matters,because,Men have life somewhat better than women,https://en.arguman.org/men-have-life-somewhat-better-than-women
62,That doesn't contribute to the theme in question.,Wrong Direction,"If your so definite that God doesn't exist, it as up to you to prove so, not up to the believers that he does.",because,It is impossible to prove if God exists.,https://en.arguman.org/it-is-impossible-to-know-if-god-exists
63,There's no reason to learn if it's just for taking time and resources of the students or to vary the theme.,Fallacy Of Irrelevant Purpose,history is important because its gives us something else to learn at school.,because,That history is important to study.,https://en.arguman.org/that-history-is-important-to-study
64,No arguments where used and the premise was just supported by the belief of what the person thinks it's right.,Appeal To Belief,,because,We do not have free will since everything that happens is determined by what has happened before.,https://en.arguman.org/we-do-not-have-free-will-since-everything-that-happens-is-determined-by-what-has-happened-before
65,.,Appeal To Authority,"Last night House press secretary Sarah Sander said, this is not the time, or actually this was today, this morning said it was not the time for political debate.",because,Jimmy Kimmel should not bring up inaction on gun policy (now),https://en.arguman.org/jimmy-kimmel-should-not-bring-up-inaction-on-gun-policy
66,"""Ben Shapiro thinks it's insulting, therefore it is""",Appeal To Authority,He is insulting.,because,Jimmy Kimmel should not bring up inaction on gun policy (now),https://en.arguman.org/jimmy-kimmel-should-not-bring-up-inaction-on-gun-policy
67,"Claims it would turn us into communists without explaining why. (it's a joke response, of course)",Appeal To Belief,It would turn us all into communists,but,The government should be required to use open source software (for civilian operations at least),https://en.arguman.org/the-government-should-be-required-to-use-open-source-software
68,hahhah maga xdddddd-- No.,Appeal To Belief,The primaries were rigged,but,Bernie Sanders can beat Hillary Clinton in the primaries,https://en.arguman.org/bernie-sanders-can-beat-hillary-clinton-in-the-primaries
69,Greeks schmeeks,Appeal To Authority,"In Greek, 'aristos' means 'the best', not 'the best natty'.",because,Professional athletes should be allowed to take anabolic steroids,https://en.arguman.org/professional-athletes-should-be-allowed-to-take-anabolic-steroids
70,"This is just purely anecdotal.
We also cannot know if you would have gotten better grades (or worse) if you had not smoked weed.",Irrelevant Conclusion,"I smoke weed and I manage to maintain a 3.4 GPA in my senior year of college. However, everyone is different",however,Marijuana usage is harmful,https://en.arguman.org/marijuana-usage-is-harmful
71,"This states that consumption is a part of the definition of economic system, and even within the quote provided that is not the case.",Fallacy Of False Cause,"""An economic system is a system of production, resource allocation, and distribution of goods and services in a society or a given geographic area""
Without consumption of goods/services, there is NO economic system.",however,Capitalism is fundamentally flawed.,https://en.arguman.org/capitalism-is-fundamentally-flawed
72,The premise seems to lead to a conclusion about how popular something needs to be to be viable not that popularity is good,Irrelevant Conclusion,It's not necessary should be the most popular. Popularity just should cross some threshold to signal that it works.,however,Programming language popularity is a major factor in deciding whether or not to use it in a project.,https://en.arguman.org/programming-language-popularity-is-a-major-factor-in-deciding-whether-or-not-to-use-a-programming-language-in-a-project
73,reason string 2,Fallacy Of Irrelevant Purpose,This is a supporting premise.,because,Test argument assertion dogs,https://en.arguman.org/test-rgument-assertion
74,reason string 1,Irrelevant Conclusion,This is a supporting premise.,because,Test argument assertion dogs,https://en.arguman.org/test-rgument-assertion
75,That's simply not an argument.,Wrong Direction,Prisoners should be allowed to receive physician assisted suicide.,but,Capital punishment should be completely illegal,https://en.arguman.org/capital-punishment-should-be-completely-illegal
76,Gun control is not about taking all guns away from Americans.,Fallacy Of Red Herring,Guns are a part of American culture and by taking guns away from Americans would be taking away a part of the culture.,but,"Gun control has worked in many European countries, but will most likely not work in the United States.",https://en.arguman.org/gun-control-has-worked-in-many-european-countries-but-will-most-likely-not-work-in-the-united-states
77,This is not a counter to the claim.,Argument Against TheMan,You don't sound like you know what you're talking about.,but,"Quantum computing is fundamentally different from Binary computing, being based on the essential nature of the universe, with grand philosophical implications, one of which being that we live in a simulation.",https://en.arguman.org/quantum-computing-is-fundamentally-different-from-binary-computer-being-based-on-the-essential-nature-of-the-universe-with-grand-philosophical-implications-one-of-which-being-that-we-live-in-a-simulation
78,"Whether the need to be ""manly"" comes from men, women, or extraterrestrial aliens has no bearing on whether it is a problem for men or not.",Fallacy Of Red Herring,Men aren't sexually abused at the same rate as women and the need for manliness is a product of the male culture.,but,Men have life somewhat better than women,https://en.arguman.org/men-have-life-somewhat-better-than-women
79,"This essentially the same as four levels up, and you have not answered the question of how to determine which gender has it worse.",Begging The Question,"Although gender roles are an issue for both men and women, women almost always have to deal with the worse side of such things.",however,Men have life somewhat better than women,https://en.arguman.org/men-have-life-somewhat-better-than-women
80,This is not related to the original contention.,Irrelevant Conclusion,"Life is ""just"" particle physics.",because,Life has no meaning,https://en.arguman.org/life-has-no-meaning-343a8a41be034128a53a39d33ca21cc5
81,This is unrelated to the original contention.,Irrelevant Conclusion,"The definition of gender itself is 'the state of being male or female' not the state of being one of the '58 genders', therefore we only have two options for genders, male and female. Since gender is decided at birth because of our biological sex, a man cannot be a woman and vice versa.",because,Sexual intercourse before marriage is immoral,https://en.arguman.org/sexual-intercourse-before-marriage-is-immoral
82,Lying to support an argument,Poisoning The Well,Yes it did. Honest.,but,It is okay to lie to support your argument,https://en.arguman.org/it-is-okay-to-lie-to-support-your-argument
83,"This assumes that a utilitarian would argue such, and you have not explained why correcting such a situation would be a utilitarian goal. Indeed, the opposite might be the case.",Begging The Question,What is moral depends on ur moral philosophy. A utilitarian could defensibly argue that discriminating against white ppl in favor of black people to correct a major discrimination-induced wrong like the racial achievement gap is ultimately moral.,however,Positive discrimination of disadvantaged groups in employment and education is immoral,https://en.arguman.org/positive-discrimination-at-work-is-immoral
84,"This assumes that it is necessary and possible to ""fix"" such ""existing wrongs and imbalances,"" and that it is necessary or possible to enforce a ""level playing field,"" while leaving such a situation undefined.",Begging The Question,Existing wrongs and imbalances can not be - in reasonable time - fixed by means of equal opportunities (level playing field). Therefore positive discrimination is a necessary lesser evil.,however,Positive discrimination of disadvantaged groups in employment and education is immoral,https://en.arguman.org/positive-discrimination-at-work-is-immoral
85,"That may or may not be the case, but it does not address the premise that positive discrimination is immoral. You may argue that such effects offset the immorality of positive discrimination, but you have not done so.",Irrelevant Conclusion,"Positive discrimination is effective in balancing existing inequalities in employment, pay and access to education.",however,Positive discrimination of disadvantaged groups in employment and education is immoral,https://en.arguman.org/positive-discrimination-at-work-is-immoral
86,"This is beside the point of the original premise. If you wish to argue that, because some people are at a disadvantage, positive discrimination is not immoral, you may do so, but you have not done so here.",Argument To Pity,"Disadvantaged groups suffer or have suffered from discrimination within a culture which created inequalities in employment, pay and access to education.",however,Positive discrimination of disadvantaged groups in employment and education is immoral,https://en.arguman.org/positive-discrimination-at-work-is-immoral
87,"While I agree with the conclusion, this is begging the question, assuming that wrongs cannot be righted by, shall we say, opposite wrongs. Many do not recognize this, and therefore the case needs to be made.",Begging The Question,"If positive discrimination is indeed immoral, replacing old wrongs with new wrongs is immoral.",but,Positive discrimination of disadvantaged groups in employment and education is immoral,https://en.arguman.org/positive-discrimination-at-work-is-immoral
88,"I believe this person's argument could fit multiple fallacies. However, due to the lack of support from a (meaningful) source combined with the inflammatory and insulting language used, I decided to list it as an argument against the man.",Argument Against TheMan,"That's only because men, in general, aren't droning on about our problems. We fix them. It is mainly due to our ability to not care about a lot of things. Not because we have it ""easier,"" but because we understand that things happen, and sometimes they suck.",however,Men have life somewhat better than women,https://en.arguman.org/men-have-life-somewhat-better-than-women
89,The fact that this person's source was a 'scholarly article' does not inherently support their point; especially when said article merely asserts without supporting.,Appeal To Authority,Compared to what? An actual scholarly article? The direct source of facts? I strongly disagree.,but,Men have life somewhat better than women,https://en.arguman.org/men-have-life-somewhat-better-than-women
90,You have not provided any evidence to support the idea that misandry is as big of an issue; you simply state that it could be as big of an issue,Begging The Question,"That misogyny is a big problem, doesn’t mean it compose the vast majority of sexism, and that misandry isn’t equally big.",but,Men have life somewhat better than women,https://en.arguman.org/men-have-life-somewhat-better-than-women
91,"Not sure if this is the right kind of fallacy, but basically, listing where information came from does not inherently invalidate that information",Poisoning The Well,Your source is wikipedia. That is all.,but,Men have life somewhat better than women,https://en.arguman.org/men-have-life-somewhat-better-than-women
92,"Circular reasoning. Dictionaries don't give words their meaning, they barely try to capture it. Moreover Oxford dictionary reads ""The term is also used more broadly to denote a range of identities that do not correspond to established ideas of male and female.""",Begging The Question,"According to the dictionary, gender is synonymous with sex. Sex is not a social construct.",because,Gender is NOT a social construct,https://en.arguman.org/gender-is-not-a-social-construct
93,"Even if you accept the article as conclusive research, it talks about advantages of diversity in general, not the kind of diversity you get based on discrimination by race or gender (disadvantaged groups). You basically assuming your initial point that race/gender based discrimination will result in better team without proving it.",Begging The Question,"Discrimination is immoral when it results in the inferior candidate being selected.
Positive discrimination on a
variable that predicts performance is needed for the best candidate to be selected.
Best individually does not mean best for the team.",but,Positive discrimination of disadvantaged groups in employment and education is immoral,https://en.arguman.org/positive-discrimination-at-work-is-immoral
94,Results do not justifie means. Just because discrimination may offer advantages to the company it does not make it less immoral to the discriminated individual. The immorality is even more pronounced in the case of a public school discriminating against applicants.,Irrelevant Conclusion,"Discrimination is immoral when it results in the inferior candidate being selected.
Positive discrimination on a
variable that predicts performance is needed for the best candidate to be selected.
Best individually does not mean best for the team.",but,Positive discrimination of disadvantaged groups in employment and education is immoral,https://en.arguman.org/positive-discrimination-at-work-is-immoral
95,"This argument is already added to the map (ie. it's a duplicate), so downvoting.",Fallacy Of Previous This,"If you were being paid under minimum wage for full time work, it would be illegal.",however,By law fulltime work should provide a living wage above the poverty line.,https://en.arguman.org/by-law-fulltime-work-should-provide-a-living-wage-above-the-poverty-line
96,"Straw-man fallacy. While it is true that ""work in general may not be a zero sum game"" and ""there is intrinsic value in diversity"" the previous premise specifically addresses a situation that is a zero-sum game. Further, the fact that diverse team may perform better is irrelevant to the (im)morality of negative discrimination.",Fallacy Of Red Herring,"employment or work in general may not be a zero sum game. If there is intrinsic value in diversity, a diverse team may perform better than the sum of its parts.",but,Positive discrimination of disadvantaged groups in employment and education is immoral,https://en.arguman.org/positive-discrimination-at-work-is-immoral
97,"Pretty low effort ""leaking""",Argument Against TheMan,"Alright, this is what you wrote on that 'admin' discord when I suggested using a poll to see if people would like longer sessions.
""
People don't know their shit from their food tho
As we are it's worked out pretty well, polls are a popularity thing whereas informed debate and consent are better",but,Portugal should not be allowed to move to the new world like that.,https://en.arguman.org/portugal-should-not-be-allowed-to-move-to-the-new-world-like-that
98,Low hanging fruit,Begging The Question,"Ohoh. Now I see.
Portugal should be allowed to keep his capital in Americas because you didn't like how we set up new ruleset without you? Great",but,Portugal should not be allowed to move to the new world like that.,https://en.arguman.org/portugal-should-not-be-allowed-to-move-to-the-new-world-like-that
99,yes,Begging The Question,"Ok, this is ABSOLUTE fucking bullshit. I went to see Cars in the theater yesterday, and when Lightning McQueen got HOT with Sally in Radiator Springs, my boner engaged. When Lightning McQueen said ""Ka-Chow!"", I couldn't help it!!! I closed my eyes, and I TORE my dick to shreds, using whip like motio",however,Portugal should not be allowed to move to the new world like that.,https://en.arguman.org/portugal-should-not-be-allowed-to-move-to-the-new-world-like-that
100,So what,Prejudicial Language,frenchie is an autist,because,Portugal should not be allowed to move to the new world like that.,https://en.arguman.org/portugal-should-not-be-allowed-to-move-to-the-new-world-like-that
101,"Will you kill yourself ?
Seriously stop.",Begging The Question,smoke twed teveryday im the bonglord,however,Portugal should not be allowed to move to the new world like that.,https://en.arguman.org/portugal-should-not-be-allowed-to-move-to-the-new-world-like-that
